TICKER,date,PRC,VOL,RET,vwretd,ewretd
ORCL,20100129,23.06,6068156.0,-0.057888,-0.037186,-0.011388
ORCL,20100226,24.65,5771538.0,0.068951,0.034754,0.033603
ORCL,20100331,25.71,6618577.0,0.043002,0.063688,0.069289
ORCL,20100430,25.8675,5580407.0,0.008071,0.020039,0.057843
ORCL,20100528,22.57,7406752.0,-0.127477,-0.079267,-0.076929
ORCL,20100630,21.46,6282398.0,-0.049180,-0.050802,-0.056799
ORCL,20100730,23.64,6447152.0,0.103914,0.070384,0.05994
ORCL,20100831,21.845,5306818.0,-0.075931,-0.042887,-0.047566
ORCL,20100930,26.85,10619524.0,0.229114,0.091669,0.096418
ORCL,20101029,29.38,7612951.0,0.096089,0.038606,0.040681
ORCL,20101130,27.045,6097673.0,-0.079476,0.005121,0.010736
ORCL,20101231,31.3,5993327.0,0.157330,0.067213,0.068851
ORCL,20110131,32.03,5861822.0,0.024920,0.01919,0.014412
ORCL,20110228,32.9,4033709.0,0.027162,0.038168,0.037036
ORCL,20110331,33.4325,6727022.0,0.016185,0.003343,0.008605
ORCL,20110429,35.96,5360104.0,0.077395,0.028602,0.019203
ORCL,20110531,34.22,5150245.0,-0.048387,-0.014958,-0.018549
ORCL,20110630,32.91,7037667.0,-0.038282,-0.018453,-0.024106
ORCL,20110729,30.58,5631645.0,-0.068976,-0.02255,-0.021813
ORCL,20110831,28.07,11160863.0,-0.082080,-0.057597,-0.075715
ORCL,20110930,28.74,8867198.0,0.023869,-0.08503,-0.10092
ORCL,20111031,32.77,6729426.0,0.142310,0.114215,0.107697
ORCL,20111130,31.35,5435064.0,-0.043332,-0.006273,-0.020645
ORCL,20111230,25.65,7487923.0,-0.181818,0.003671,-0.003561
ORCL,20120131,28.21,7248771.0,0.102144,0.05414,0.085342
ORCL,20120229,29.255,5679684.0,0.037044,0.041253,0.036494
ORCL,20120330,29.16,8170098.0,-0.003247,0.024039,0.017608
ORCL,20120430,29.4,5364162.0,0.010288,-0.00684,-0.009106
ORCL,20120531,26.47,6501551.0,-0.099660,-0.065641,-0.068418
ORCL,20120629,29.7,6410934.0,0.122025,0.038181,0.034188
ORCL,20120731,30.2,4806742.0,0.018855,0.010306,-0.003281
ORCL,20120831,31.65,3976014.0,0.048013,0.026337,0.02482
ORCL,20120928,31.46,4922048.0,-0.006003,0.026532,0.034925
ORCL,20121031,31.08,4848439.0,-0.010172,-0.014064,-0.013477
ORCL,20121130,32.175,4017954.0,0.035232,0.006219,0.00279
ORCL,20121231,33.32,4996253.0,0.041181,0.01258,0.021872
ORCL,20130131,35.51,4003070.0,0.065726,0.054189,0.063509
ORCL,20130228,34.24,3455209.0,-0.035764,0.008284,0.003491
ORCL,20130328,32.33,6380343.0,-0.055783,0.03532,0.031419
ORCL,20130430,32.78,5429003.0,0.013919,0.014942,0.002477
ORCL,20130531,33.78,4736141.0,0.030506,0.019155,0.023985
ORCL,20130628,30.71,6977554.0,-0.090882,-0.015071,-0.013012
ORCL,20130731,32.35,6737296.0,0.057310,0.05269,0.054898
ORCL,20130830,31.86,3466425.0,-0.015147,-0.025761,-0.017278
ORCL,20130930,33.17,4555149.0,0.041117,0.037514,0.051828
ORCL,20131031,33.5,4217719.0,0.013567,0.039908,0.025762
ORCL,20131129,35.29,3234823.0,0.053433,0.024973,0.023398
ORCL,20131231,38.26,4686676.0,0.084160,0.02616,0.025242
ORCL,20140131,36.9,3344280.0,-0.032410,-0.030047,-0.001282
ORCL,20140228,39.11,2547516.0,0.059892,0.046225,0.044257
ORCL,20140331,40.91,4396362.0,0.046024,0.004544,0.001028
ORCL,20140430,40.88,3845139.0,0.002200,0.001569,-0.022319
ORCL,20140530,42.02,2670215.0,0.027886,0.02026,0.006647
ORCL,20140630,40.53,3250446.0,-0.035459,0.027991,0.039501
ORCL,20140731,40.39,2799185.0,-0.000493,-0.020568,-0.035236
ORCL,20140829,41.53,2060348.0,0.028225,0.040226,0.033707
ORCL,20140930,38.28,4125159.0,-0.078257,-0.025208,-0.044988
ORCL,20141031,39.05,3560011.0,0.023250,0.021172,0.014177
ORCL,20141128,42.41,2106882.0,0.086044,0.021114,-0.002458
ORCL,20141231,44.97,3526897.0,0.060363,-0.003661,-0.000181
ORCL,20150130,41.89,3143875.0,-0.065822,-0.027207,-0.019077
ORCL,20150227,43.82,2158934.0,0.046073,0.055999,0.054161
ORCL,20150331,43.15,3451147.0,-0.015290,-0.01041,-0.00511
ORCL,20150430,43.62,2782134.0,0.014368,0.008776,0.015129
ORCL,20150529,43.49,1821383.0,-0.002980,0.010269,0.003983
ORCL,20150630,40.3,4347625.0,-0.073350,-0.019272,-0.01348
ORCL,20150731,39.94,3011408.0,-0.005211,0.012063,-0.027158
ORCL,20150831,37.09,3024171.0,-0.071357,-0.059979,-0.047287
ORCL,20150930,36.12,3922905.0,-0.026153,-0.033831,-0.049928
ORCL,20151030,38.84,3175015.0,0.079457,0.07404,0.05288
ORCL,20151130,38.97,2945684.0,0.003347,0.002426,0.00734
ORCL,20151231,36.53,3729737.0,-0.062612,-0.022288,-0.035903
ORCL,20160129,36.31,3918973.0,-0.001916,-0.05718,-0.074949
ORCL,20160229,36.78,3055299.0,0.012944,0.000604,0.005587
ORCL,20160331,40.91,3607210.0,0.112289,0.070581,0.07819
ORCL,20160429,39.86,2184567.0,-0.021999,0.011737,0.039878
ORCL,20160531,40.2,2068359.0,0.008530,0.014269,-0.000625
ORCL,20160630,40.93,4335936.0,0.018159,0.002926,0.005826
ORCL,20160729,41.04,2333885.0,0.006352,0.038846,0.049896
ORCL,20160831,41.22,2228371.0,0.004386,0.0028,0.013063
ORCL,20160930,39.28,2962111.0,-0.047065,0.00302,0.015381
ORCL,20161031,38.42,2184478.0,-0.018075,-0.021586,-0.039942
ORCL,20161130,40.19,2623394.0,0.046070,0.040546,0.050511
ORCL,20161230,38.45,3084088.0,-0.043294,0.018768,0.015881
ORCL,20170131,40.11,2447063.0,0.047074,0.022177,0.025942
ORCL,20170228,42.59,2242070.0,0.061830,0.032632,0.017117
ORCL,20170331,44.61,3596615.0,0.047429,0.002095,0.00641
ORCL,20170428,44.96,2162291.0,0.012105,0.009628,0.003691
ORCL,20170531,45.39,2182114.0,0.009564,0.009303,-0.011327
ORCL,20170630,50.14,3892504.0,0.104649,0.009551,0.022945
ORCL,20170731,49.93,2206554.0,-0.000399,0.020309,0.009089
ORCL,20170831,50.33,2169325.0,0.008011,0.001575,-0.00874
ORCL,20170929,48.35,4059255.0,-0.039340,0.023777,0.046863
ORCL,20171031,50.9,3140594.0,0.056670,0.019277,0.002217
ORCL,20171130,49.06,2460600.0,-0.036149,0.027252,0.020848
ORCL,20171229,47.28,3645284.0,-0.036282,0.012153,0.014234
ORCL,20180131,51.59,3485999.0,0.095178,0.050627,0.02944
ORCL,20180228,50.67,2906844.0,-0.017833,-0.039511,-0.04004
ORCL,20180329,45.75,4354231.0,-0.097099,-0.018454,0.001183
ORCL,20180430,45.67,2888885.0,0.002404,0.00471,0.008205
ORCL,20180531,46.72,2535493.0,0.022991,0.026175,0.034612
ORCL,20180629,44.06,4697897.0,-0.056935,0.005363,0.002819
ORCL,20180731,47.68,4242729.0,0.086473,0.031603,0.0068
ORCL,20180831,48.58,3105354.0,0.018876,0.030204,0.019158
ORCL,20180928,51.56,4234516.0,0.061342,0.000432,-0.010314
ORCL,20181031,48.84,4443546.0,-0.049069,-0.074076,-0.082433
ORCL,20181130,48.76,3715527.0,-0.001638,0.018489,0.000576
ORCL,20181231,45.15,5390642.0,-0.074036,-0.089889,-0.09931
ORCL,20190131,50.23,3248083.0,0.116722,0.088295,0.120268
ORCL,20190228,52.13,2578429.0,0.037826,0.032724,0.038566
ORCL,20190329,53.71,3706972.0,0.030309,0.012964,-0.003896
ORCL,20190430,55.33,1935070.0,0.034630,0.037889,0.020323
ORCL,20190531,50.6,2400930.0,-0.085487,-0.061679,-0.064571
ORCL,20190628,56.97,4172203.0,0.125889,0.067279,0.049002
ORCL,20190731,56.3,2514810.0,-0.007548,0.011854,-0.005245
ORCL,20190830,52.06,2259730.0,-0.075311,-0.020339,-0.040001
ORCL,20190930,55.03,3367994.0,0.057050,0.016033,0.017681
ORCL,20191031,54.49,2528444.0,-0.005452,0.019256,0.006291
ORCL,20191129,56.14,1572243.0,0.030281,0.034997,0.026601
ORCL,20191231,52.98,2657013.0,-0.056288,0.028491,0.044379
ORCL,20200131,52.45,2005627.0,-0.005474,-0.001728,-0.013334
ORCL,20200228,49.46,1935500.0,-0.057007,-0.077918,-0.069814
ORCL,20200331,48.33,5000331.0,-0.022847,-0.141733,-0.207501
ORCL,20200430,52.97,2615529.0,0.100972,0.129677,0.153872
ORCL,20200529,53.77,2138695.0,0.015103,0.053739,0.06407
ORCL,20200630,55.27,3366788.0,0.027897,0.025299,0.057391
ORCL,20200731,55.45,2742218.0,0.007599,0.055529,0.040736
ORCL,20200831,57.22,2179598.0,0.031921,0.068443,0.038884
ORCL,20200930,59.7,4267449.0,0.043341,-0.035057,-0.027356
ORCL,20201030,56.11,2098049.0,-0.056114,-0.020178,0.000584
ORCL,20201130,57.72,1870671.0,0.028694,0.123707,0.174412
ORCL,20201231,64.69,2910949.0,0.120755,0.045048,0.072853
MSFT,20100129,28.18,13640561.0,-0.075459,-0.037186,-0.011388
MSFT,20100226,28.67,10779015.0,0.022001,0.034754,0.033603
MSFT,20100331,29.2875,11181446.0,0.021538,0.063688,0.069289
MSFT,20100430,30.535,13259805.0,0.042595,0.020039,0.057843
MSFT,20100528,25.8,17259734.0,-0.150811,-0.079267,-0.076929
MSFT,20100630,23.01,16793127.0,-0.108140,-0.050802,-0.056799
MSFT,20100730,25.81,14132280.0,0.121686,0.070384,0.05994
MSFT,20100831,23.465,12827745.0,-0.085819,-0.042887,-0.047566
MSFT,20100930,24.49,12779695.0,0.043682,0.091669,0.096418
MSFT,20101029,26.665,12854487.0,0.088812,0.038606,0.040681
MSFT,20101130,25.2575,14174423.0,-0.046784,0.005121,0.010736
MSFT,20101231,27.91,10367260.0,0.105018,0.067213,0.068851
MSFT,20110131,27.725,13658100.0,-0.006628,0.01919,0.014412
MSFT,20110228,26.58,11176358.0,-0.035528,0.038168,0.037036
MSFT,20110331,25.39,13148095.0,-0.044771,0.003343,0.008605
MSFT,20110429,25.92,13175516.0,0.020874,0.028602,0.019203
MSFT,20110531,25.01,13677186.0,-0.028935,-0.014958,-0.018549
MSFT,20110630,26.0,13005667.0,0.039584,-0.018453,-0.024106
MSFT,20110729,27.4,12628983.0,0.053846,-0.02255,-0.021813
MSFT,20110831,26.6,17248617.0,-0.023358,-0.057597,-0.075715
MSFT,20110930,24.89,12834491.0,-0.064286,-0.08503,-0.10092
MSFT,20111031,26.63,12223185.0,0.069908,0.114215,0.107697
MSFT,20111130,25.58,10497537.0,-0.031919,-0.006273,-0.020645
MSFT,20111230,25.96,10098074.0,0.014855,0.003671,-0.003561
MSFT,20120131,29.53,13601072.0,0.137519,0.05414,0.085342
MSFT,20120229,31.74,9870347.0,0.081612,0.041253,0.036494
MSFT,20120330,32.255,9445449.0,0.016226,0.024039,0.017608
MSFT,20120430,32.015,9337134.0,-0.007441,-0.00684,-0.009106
MSFT,20120531,29.19,10123951.0,-0.081993,-0.065641,-0.068418
MSFT,20120629,30.59,9679085.0,0.047962,0.038181,0.034188
MSFT,20120731,29.47,8415185.0,-0.036613,0.010306,-0.003281
MSFT,20120831,30.82,6689457.0,0.052596,0.026337,0.02482
MSFT,20120928,29.76,8907887.0,-0.034393,0.026532,0.034925
MSFT,20121031,28.54,11047390.0,-0.040995,-0.014064,-0.013477
MSFT,20121130,26.615,12895966.0,-0.059390,0.006219,0.00279
MSFT,20121231,26.7097,9389131.0,0.003558,0.01258,0.021872
MSFT,20130131,27.45,11363418.0,0.027717,0.054189,0.063509
MSFT,20130228,27.8,7736797.0,0.021129,0.008284,0.003491
MSFT,20130328,28.605,8372531.0,0.028957,0.03532,0.031419
MSFT,20130430,33.1,14536561.0,0.157140,0.014942,0.002477
MSFT,20130531,34.9,10663668.0,0.061329,0.019155,0.023985
MSFT,20130628,34.545,9394212.0,-0.010172,-0.015071,-0.013012
MSFT,20130731,31.84,11036007.0,-0.078304,0.05269,0.054898
MSFT,20130830,33.4,10443426.0,0.056219,-0.025761,-0.017278
MSFT,20130930,33.28,12366043.0,-0.003593,0.037514,0.051828
MSFT,20131031,35.405,9633022.0,0.063852,0.039908,0.025762
