datadate,fyearq,fqtr,tic,conm,rating,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20170331,2017,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,52627,3457,7219,374,495.75,1714,484,6327,49170,340,0,0,3457,,1704,1714,0.67,A,20970.225,4512
20170630,2017,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,53336,3715,7440,386,487.662,2334,495,6315,49621,864,0,0,3715,,1808,3194,2.42,A,24539.1518,4512
20170930,2017,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,52401,3948,6161,340,480,2467,511,6305,48453,661,0,0,3948,,1864,4563,3.78,A,22795.2,4512
20171231,2017,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,51396,3926,5384,295,475.508,2554,527,6294,47470,-583,0,0,3926,33,1864,5971,2.62,A,24740.6812,4512
20180331,2018,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,53280,-1018,5585,297,467.39,2793,522,6284,54298,159,0,0,-1018,,1862,779,0.34,A,24285.5844,4512
20180630,2018,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,52622,-869,4857,293,460.502,2213,541,6248,53491,557,0,0,-869,,1942,1731,1.53,A,17480.6559,4512
20180930,2018,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,52635,-568,5009,303,460.559,2493,544,6238,53203,372,0,0,-568,,1891,2736,2.34,A,19034.9035,4512
20181231,2018,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,60580,-169,4914,275,460.611,4948,550,6228,60749,324,0,0,-169,10,1875,3745,3.04,A,14790.2192,4512
20190331,2019,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,60787,-636,4505,337,444.216,4999,559,6206,61423,185,0,0,-636,,1866,1305,0.41,A,14108.3002,4512
20190630,2019,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,61967,-22,5564,319,445.262,5139,572,6196,61989,662,0,0,-22,,1924,2323,1.89,A,14519.9938,4512
20190930,2019,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,61175,160,5326,312,438.035,5280,584,6186,61015,425,0,0,160,,2021,3129,2.85,A,11813.804,4512
20191231,2019,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,59995,-118,3984,280,428.203,4569,603,6175,60113,414,0,0,-118,29,1906,4268,3.8,A,12280.862,4512
20200331,2020,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,58580,-2636,3733,474,422.887,5270,643,6150,61216,-2241,0,0,-2636,,1655,845,-5.26,A,5154.9925,4512
20200630,2020,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,64544,-3169,10352,462,508.556,4379,584,6140,67713,-2067,0,0,-3169,,657,1233,-10.08,A,6646.8269,4512
20200930,2020,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,62773,-5528,8792,253,508.604,4446,577,6130,68301,-2399,0,0,-5528,,795,1810,-14.76,A,6250.7432,4512
20201231,2020,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,62008,-6867,7473,245,621.48,4448,561,6120,68875,-2178,0,0,-6867,9,792,1958,-18.36,A,9800.7396,4512
20210331,2021,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,68649,-7945,14845,277,641.374,4039,559,6110,76594,-1250,0,0,-7945,,867,-19,-1.97,A,15328.8386,4512
20210630,2021,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,72464,-7667,18949,325,647.446,4385,559,6099,80131,19,0,0,-7667,,1235,-118,-1.92,A,13732.3297,4512
20210930,2021,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,68437,-7437,15459,293,647.477,4040,557,6089,75874,170,0,0,-7437,,1427,25,-1.65,A,13286.228,4512
20100331,2010,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,11934.919,3213.933,3.528,3.528,101.534,779.242,100.634,169.912,8604.919,-6.014,0,0,3213.933,1582.66,,205.634,0.06,A,3830.8778,4911
20100630,2010,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,12158.2,3479.548,50.502,50.502,108.511,463.372,102.995,168.233,8565.197,114.797,0,0,3479.548,1696.99,,384.974,0.91,A,3945.46,4911
20100930,2010,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,12435.487,3716.926,195.915,195.915,108.71,238.513,104.177,178.666,8607.258,233.92,0,0,3716.926,1868.86,,565.26,3.02,A,4486.4617,4911
20101231,2010,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,12362.703,3683.327,110.188,110.188,108.77,648.479,106.673,184.952,8587.477,7.35,0,0,3683.327,1833.566,,765.152,3.05,A,4508.5165,4911
20110331,2011,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,12302.89,3631.411,114.193,114.193,109.017,849.575,106.583,182.855,8574.119,-15.135,0,0,3631.411,1775.368,,195.129,-0.14,A,4664.8374,4911
20110630,2011,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,12474.08,3613.705,92.274,92.274,109.111,910.816,106.617,177.845,8758.47,86.685,0,0,3613.705,1825.077,,394.704,0.64,A,4864.1684,4911
20110930,2011,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13150.363,3894.085,564.712,564.712,109.171,876.363,106.35,176.401,9147.368,255.359,0,0,3894.085,1955.458,,657.632,2.9,A,4687.8027,4911
20111231,2011,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13111.018,3821.85,33.583,33.583,109.246,477.435,107.504,170.571,9180.432,12.564,0,0,3821.85,1925.388,,902.708,3.01,A,5263.4723,4911
20120331,2012,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13183.914,3744.917,20.71,20.71,109.372,318.308,100.109,,9322.485,-8.257,0,0,3744.917,1918.995,,244.124,-0.07,A,5238.9188,4911
20120630,2012,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13214.407,3778.035,11.228,11.228,109.54,166.962,100.606,,9315.07,122.345,0,0,3778.035,1946.54,,431.373,1.06,A,5667.5996,4911
20120930,2012,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13460.286,4056.242,79.479,79.479,109.589,90.36,100.353,,9274.702,244.823,0,0,4056.242,2115.316,,681.112,3.29,A,5786.2992,4911
20121231,2012,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13379.615,3972.806,26.202,26.202,109.743,215.003,103.268,,9277.326,22.631,0,0,3972.806,2151.371,,904.522,3.54,A,5594.6981,4911
20130331,2013,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13300.927,4014.455,25.109,25.109,109.946,122.828,103.73,,9148.597,24.444,0,0,4014.455,2064.476,,186.849,0.22,A,6364.7739,4911
20130630,2013,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13562.694,4032.165,27.803,27.803,109.993,629.231,106.292,,9393.459,131.207,0,0,4032.165,2295.844,,384.227,1.42,A,6101.3117,4911
20130930,2013,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13822.671,4275.804,135.457,135.457,110.037,566.481,107.388,,9401.243,226.163,0,0,4275.804,2479.767,,592.376,3.47,A,6023.4254,4911
20131231,2013,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13508.686,4194.47,9.526,9.526,110.182,693.549,98.298,,9168.226,24.26,0,0,4194.47,2504.243,,1031.183,3.69,A,5830.8314,4911
20140331,2014,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13450.797,4222.786,103.421,103.421,110.354,549.924,101.772,,9073.096,15.766,0,0,4222.786,2511.803,,211.229,0.14,A,6031.9496,4911
20140630,2014,2,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13690.317,4233.89,9.161,9.161,110.407,545.491,105.15,,9308.455,132.458,0,0,4233.89,2577.262,,396.312,1.34,A,6385.9409,4911
20140930,2014,3,PNW,PINNACLE WEST CAPITAL CORP,BBB-,13980.348,4491.916,10.471,10.471,110.447,387.991,103.66,,9336.335,243.961,0,0,4491.916,2682.717,,629.697,3.55,A,6034.8241,4911
20141231,2014,4,PNW,PINNACLE WEST CAPITAL CORP,BBB-,14313.532,4367.493,7.604,7.604,110.571,530.97,106.776,,9794.43,5.41,0,0,4367.493,2761.243,,926.091,3.59,A,7553.105,4911
20150331,2015,1,PNW,PINNACLE WEST CAPITAL CORP,BBB-,14435.703,4396.793,11.664,11.664,110.747,428.07,120.949,,9882.696,16.122,0,0,4396.793,2764.493,,255.257,0.15,A,7060.1213,4911
